,Price,Bedroom,Area,Title,Place,Post Timing,Finishing,House Type,Parking Type,Bathroom,Link
1,2278000,8,6,Beautiful Tsawwassen Home For Sale Custom Built with Legal Suite,Tsawwassen,2020-07-10T15:42:19-0700,unfurnished,house,attached garage,7,https://vancouver.craigslist.org/van/reb/d/delta-southwest-beautiful-tsawwassen/7157126264.html
2,684900,NA,NA,AMAZING Assignment Pre-Sale Unit at 567 Clarke + Como Development,Burquitlam,2020-07-03T15:44:48-0700,unfurnished,condo,NA,7,https://vancouver.craigslist.org/bnc/reb/d/coquitlam-amazing-assignment-pre-sale/7153122913.html
3,1098000,4,,Murrayville Basement Entry Home on Private 1/3 Acre Lot!,"           (google map)
       ",2020-07-10T15:16:32-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/rds/reb/d/langley-murrayville-basement-entry-home/7157111854.html
4,1975000,4,4100,MAGNIFICENT OCEAN RESIDENCE Westcoast style,SOUTHERN GULF ISLANDS,2020-07-10T14:51:19-0700,unfurnished,house,attached garage,3,https://vancouver.craigslist.org/van/reo/d/pender-island-magnificent-ocean/7157097307.html
5,1350000,5,11000,5 bedroom home with potential for subdivision or laneway home,port coquitlam,2020-07-10T14:27:14-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/pml/reo/d/port-coquitlam-south-5-bedroom-home/7157082361.html
6,468000,1,530,567 Clarke assignment step to skytrain decoration allowrance available,Coquitlam,2020-07-10T14:22:47-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/pml/reb/d/coquitlam-567-clarke-assignment-step-to/7157079525.html
7,820000,1,1300,WHITE ROCK CONCRETE TOWNHOME ASSIGNMENT,NA,2020-07-10T14:22:26-0700,unfurnished,townhouse,NA,1,https://vancouver.craigslist.org/rds/reb/d/white-rock-white-rock-concrete-townhome/7157079288.html
8,695000,6,679,Assignment 2 bedroom concrete high rise with central air conditioning,Metrotown,2020-07-10T14:22:00-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/bnc/reb/d/burnaby-assignment-2-bedroom-concrete/7157079023.html
9,1499000,2,186,Breathtaking seaview new luxury WHITE ROCK SUBPENTHOUSE ASSIGNMENT,NA,2020-07-10T14:20:09-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/rds/reb/d/white-rock-breathtaking-seaview-new/7157077797.html
10,859000,NA,NA,"2.5 Acres near Parksville, Vancouver Island. Excellent investment!",Errington 12 min from Parksville,2020-06-13T12:13:12-0700,unfurnished,house,NA,2,https://vancouver.craigslist.org/van/reo/d/errington-25-acres-near-parksville/7141213015.html
11,728000,2,830,2 bed 2 bath 2007 built 17th floor - NEAR SKYTRAIN,Burnaby,2020-07-10T13:22:51-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/bnc/reb/d/burnaby-2-bed-2-bath-2007-built-17th/7157039765.html
12,949900,3,1673,3 bed 2 bath townhouse near Marine drive - south van,Vancouver,2020-07-10T13:15:50-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/van/reb/d/vancouver-3-bed-2-bath-townhouse-near/7157034996.html
13,299999,1,643,1 bed - 643 sqft - near skytrain,Vancouver,2020-07-10T13:06:18-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/rds/reb/d/surrey-inner-northwest-1-bed-sqft-near/7157028679.html
14,180000,2,1008,Your New Beach House?,Parksville,2020-07-10T13:12:51-0700,unfurnished,apartment,street parking,1,https://vancouver.craigslist.org/van/reb/d/parksville-your-new-beach-house/7157033093.html
15,1379999,NA,NA,House for Sale in West Newton,"Surrey, BC",2020-07-10T13:12:13-0700,unfurnished,house,NA,1,https://vancouver.craigslist.org/rds/reb/d/surrey-house-for-sale-in-west-newton/7157032664.html
16,1040000,3,3300,House for sale in surrey,Clayton Heights,2020-07-05T11:32:32-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/rds/reo/d/surrey-northeast-house-for-sale-in/7153908889.html
17,1399900,2,,HOUSE FOR SALE: 3103 E GEORGIA STREET,VANCOUVER,2020-07-10T12:50:27-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/van/reb/d/vancouver-house-for-sale-3103-georgia/7157017923.html
18,1898000,5,3751,Panorama Ridge House for Sale 5570 123 STREET,SURREY,2020-07-10T12:47:07-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-panorama-ridge-house-for-sale/7157015746.html
19,799900,9,9600,LAND FOR SALE : 20383 OSPRING STREET,Maple Ridge,2020-07-10T12:36:26-0700,unfurnished,land,no parking,3,https://vancouver.craigslist.org/pml/reb/d/maple-ridge-land-for-sale-ospring-street/7157008451.html
20,959000,4,,North Delta House for Sale - 8039 Modesto Dr,Canterbury Heights,2020-07-10T12:34:08-0700,unfurnished,house,NA,2.5,https://vancouver.craigslist.org/rds/reb/d/delta-northeast-north-delta-house-for/7157006813.html
21,4250000,3,,Burke Mountain Site. OCP Designation: Townhomes,"Burke Mountain, Coquitlam",2020-07-10T12:31:58-0700,unfurnished,land,NA,2,https://vancouver.craigslist.org/pml/reb/d/port-coquitlam-burke-mountain-site-ocp/7157005343.html
22,785000,8,805,CONDO FOR SALE: 309 2221 E 30TH AVENUE,VANCOUVER,2020-07-10T12:31:18-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/van/reb/d/vancouver-condo-for-sale-th-avenue/7157004861.html
23,639000,2,,Townhouses / Fleetwood Point 5% down!,"Fleetwood, Surrey, BC",2020-07-10T12:15:27-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/rds/reb/d/surrey-northeast-townhouses-fleetwood/7156993501.html
24,2985000,5,,5 ACRES WITH 2 HOUSES AND BLUEBERRY FARM,NA,2020-07-10T12:02:55-0700,unfurnished,land,NA,7,https://vancouver.craigslist.org/rds/reb/d/langley-township-east-5-acres-with-2/7156984437.html
25,NA,NA,NA,Own a home and need extra cash,"Surrey, BC",2020-06-20T08:52:14-0700,unfurnished,house,NA,7,https://vancouver.craigslist.org/van/reb/d/surrey-northeast-own-home-and-need/7145247561.html
26,2100000,NA,NA,1/2 Acre Industrial lot for sale,Bridgeview (Surrey),2020-07-10T11:54:09-0700,unfurnished,land,NA,7,https://vancouver.craigslist.org/rds/reo/d/surrey-outer-northwest-1-2-acre/7156978054.html
27,NA,NA,NA,FOR SALE INDUSTRIAL LAND,CAMPBELL HEIGHTS,2020-06-25T06:51:21-0700,unfurnished,apartment,NA,7,https://vancouver.craigslist.org/van/reo/d/surrey-east-for-sale-industrial-land/7148084371.html
28,1699000,2,,Open House THIS SUNDAY at Iconic Mid-Century Hycroft Towers,"Vancouver, BC",2020-07-10T11:49:12-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/van/reb/d/vancouver-open-house-this-sunday-at/7156974371.html
29,1800000,4,,Superbe brick HOUSE with SUITE and rooftop patio FIRM PRICE!!!,Strathcona / Chinatown,2020-06-24T11:59:10-0700,furnished,house,attached garage,5,https://vancouver.craigslist.org/van/reo/d/vancouver-superbe-brick-house-with/7147697675.html
30,235000,2,1015,Immaculate Condo 55+ Downtown,Central,2020-06-26T13:27:44-0700,unfurnished,condo,NA,1,https://vancouver.craigslist.org/van/reb/d/abbotsford-southeast-immaculate-condo/7148960740.html
31,235000,2,1015,Immaculate Condo 55+ Downtown,Central,2020-06-26T13:31:01-0700,unfurnished,condo,NA,1,https://vancouver.craigslist.org/nvn/reb/d/abbotsford-southeast-immaculate-condo/7148963024.html
32,235000,2,1015,Immaculate Condo 55+ Downtown,Central,2020-06-26T13:34:11-0700,unfurnished,condo,NA,1,https://vancouver.craigslist.org/bnc/reb/d/abbotsford-southeast-immaculate-condo/7148965125.html
33,235000,2,1015,Immaculate Condo 55+ Downtown,Central,2020-06-26T13:35:46-0700,unfurnished,condo,NA,1,https://vancouver.craigslist.org/rds/reb/d/abbotsford-southeast-immaculate-condo/7148966139.html
34,235000,2,1015,Immaculate Condo 55+ Downtown,Central,2020-06-26T13:37:21-0700,unfurnished,condo,NA,1,https://vancouver.craigslist.org/pml/reb/d/abbotsford-southeast-immaculate-condo/7148967199.html
35,235000,2,1015,Immaculate Condo 55+ Downtown,Central,2020-06-26T13:38:54-0700,unfurnished,condo,NA,1,https://vancouver.craigslist.org/rch/reb/d/abbotsford-southeast-immaculate-condo/7148968200.html
36,369900,3,1315,Huge 3 Bedroom Condo Rentals Allowed,Central,2020-07-08T09:40:16-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/van/reb/d/mission-east-huge-3-bedroom-condo/7155656007.html
37,369900,2,1315,Huge 3 Bedroom Condo Rentals Allowed,Central,2020-07-08T09:43:42-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/nvn/reb/d/mission-east-huge-3-bedroom-condo/7155658672.html
38,369900,3,1315,Huge 3 Bedroom Condo Rentals Allowed,Central,2020-07-08T09:45:42-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/bnc/reb/d/mission-east-huge-3-bedroom-condo/7155660275.html
39,369900,3,1315,Huge 3 Bedroom Condo Rentals Allowed,CENTRAL,2020-07-08T09:48:02-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/rds/reb/d/mission-east-huge-3-bedroom-condo/7155662071.html
40,369900,3,1315,Huge 3 Bedroom Condo Rentals Allowed,CENTRAL,2020-07-08T09:49:43-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/pml/reb/d/mission-east-huge-3-bedroom-condo/7155663409.html
41,369900,3,1315,Huge 3 Bedroom Condo Rentals Allowed,CENTRAL,2020-07-08T09:51:28-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/rch/reb/d/mission-east-huge-3-bedroom-condo/7155664785.html
42,645000,1,691,#1806 6658 Dow Avenue,"           (google map)
       ",2020-07-10T11:15:34-0700,unfurnished,apartment,attached garage,1,https://vancouver.craigslist.org/bnc/reb/d/burnaby-dow-avenue/7156948977.html
43,619900,3,890,NEW LISTING 20283 WANSTEAD STREET MAPLE RIDGE,Maple Ridge,2020-07-06T17:36:16-0700,unfurnished,apartment,detached garage,1,https://vancouver.craigslist.org/pml/reb/d/maple-ridge-new-listing-wanstead-street/7154717689.html
