,Price,Bedroom,Area,Title,Place,Post Timing,Finishing,House Type,Parking Type,Bathroom,Link
1,NA,NA,NA,Semiahmoo Town Centre 7500 sq  ft lot,NA,2020-07-20T19:05:26-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/rds/reo/d/blaine-semiahmoo-town-centre-7500-sq-ft/7163055296.html
2,1324888,7,7771,** OPEN HOUSE JULY 26 FOR THE BEST PRICED HOME IN NEWTON! ***,Newton,2020-07-25T15:47:15-0700,unfurnished,house,NA,1,https://vancouver.craigslist.org/rds/reb/d/surrey-open-house-july-26-for-the-best/7165973491.html
3,728000,1,547,***INVESTOR ALERT  - AIRBNB ALLOWED*** Downtown Whistler Village,Whistler,2020-07-03T22:11:07-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/van/reb/d/dawsons-landing-investor-alert-airbnb/7153247494.html
4,1098800,6,547,6 bed house with a basement suite in Sullivan Area,Surrey,2020-07-25T14:37:59-0700,unfurnished,apartment,NA,4.5,https://vancouver.craigslist.org/rds/reb/d/surrey-east-6-bed-house-with-basement/7165936507.html
5,632000,2,1305,High Level Executive 2 Bedroom Condo in Coquitlam,North Coquitlam,2020-07-25T14:42:39-0700,unfurnished,condo,attached garage,2,https://vancouver.craigslist.org/pml/reb/d/coquitlam-high-level-executive-2/7165939225.html
6,648000,1,771,Brand New 1 Bed & Den in Award Winning Compass Building,402 680 Seylynn Crescent,2020-07-25T14:42:17-0700,unfurnished,condo,attached garage,1,https://vancouver.craigslist.org/van/reb/d/north-vancouver-brand-new-1-bed-den-in/7165939008.html
7,1099000,2,11,2 Storey Condo in Beautiful Compass in Seylynn,610 680 Seylynn Crescent,2020-07-25T14:41:57-0700,unfurnished,condo,attached garage,2,https://vancouver.craigslist.org/van/reb/d/north-vancouver-2-storey-condo-in/7165938805.html
8,548000,1,560,Luxury Living at Kensington Gardens,Vancouver,2020-07-25T14:05:37-0700,unfurnished,condo,attached garage,1,https://vancouver.craigslist.org/van/reb/d/vancouver-luxury-living-at-kensington/7165917831.html
9,599900,2,,5 acres & 2400sf House on Quadra Island,Courtenay,2020-07-25T14:11:22-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/van/reo/d/refuge-cove-5-acres-2400sf-house-on/7165921131.html
10,790000,2,617,"5058 Joyce, steps to Joyce Skytrain Station, one bus to UBC",Vancouver Joyce-Collingwood,2020-06-29T11:39:00-0700,unfurnished,condo,NA,0,https://vancouver.craigslist.org/van/reb/d/vancouver-5058-joyce-steps-to-joyce/7150598804.html
11,468000,1,530,567 Clarke assignment step to skytrain decoration allowrance available,Coquitlam,2020-07-10T14:22:47-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/pml/reb/d/coquitlam-567-clarke-assignment-step-to/7157079525.html
12,790000,1,1300,WHITE ROCK CONCRETE TOWNHOME ASSIGNMENT,NA,2020-07-10T14:22:26-0700,unfurnished,townhouse,NA,1,https://vancouver.craigslist.org/rds/reb/d/white-rock-white-rock-concrete-townhome/7157079288.html
